,kH,kHe,kHeII,hH,hHe,hHeII,nhH,nhHe,nhHeII
2.0,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.000898440491307,0.000802738510184,2.11269981435e-06
2.2,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.0014239322185,0.00127225480012,3.34840355347e-06
2.4,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.00225678047963,0.00201638797178,5.30686199751e-06
2.6,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.00357675601905,0.00319575956984,8.41080945318e-06
2.8,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.00566877626568,0.00506493758698,1.33302346454e-05
3.0,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.00898440491307,0.00802738510184,2.11269981435e-05
3.2,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.014239322185,0.0127225480012,3.34840355347e-05
3.4,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.0225678047963,0.0201638797178,5.30686199751e-05
3.6,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.0357675601905,0.0319575956984,8.41080945318e-05
3.8,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.0566877626568,0.0506493758698,0.000133302346454
4.0,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.0898440491307,0.0802738510184,0.000211269981435
4.2,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.14239322185,0.127225480012,0.000334840355347
4.4,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.225678047963,0.201638797178,0.000530686199751
4.6,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.357675601905,0.319575956984,0.000841080945318
4.8,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.566877626568,0.506493758698,0.00133302346454
5.0,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.898440491307,0.802738510184,0.00211269981435
5.2,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,1.4239322185,1.27225480012,0.00334840355347
5.4,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,2.25678047963,2.01638797178,0.00530686199751
5.6,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,3.57675601905,3.19575956984,0.00841080945318
5.8,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,5.66877626568,5.06493758698,0.0133302346454
6.0,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,8.98440491307,8.02738510184,0.0211269981435
6.2,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,14.239322185,12.7225480012,0.0334840355347
6.4,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,22.5678047963,20.1638797178,0.0530686199751
6.6,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,35.7675601905,31.9575956984,0.0841080945318
6.8,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,56.6877626568,50.6493758698,0.133302346454
7.0,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,89.8440491307,80.2738510184,0.211269981435
7.2,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,142.39322185,127.225480012,0.334840355347
7.4,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,225.678047963,201.638797178,0.530686199751
7.6,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,357.675601905,319.575956984,0.841080945318
7.8,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,566.877626568,506.493758698,1.33302346454
8.0,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,898.440491307,802.738510184,2.11269981435
8.2,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,1423.9322185,1272.25480012,3.34840355347
8.4,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,2256.78047963,2016.38797178,5.30686199751
8.6,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,3576.75601905,3195.75956984,8.41080945318
8.8,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,5668.77626568,5064.93758698,13.3302346454
9.0,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,8984.40491307,8027.38510184,21.1269981435
9.2,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,14239.322185,12722.5480012,33.4840355347
9.4,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,22567.8047963,20163.8797178,53.0686199751
9.6,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,35767.5601905,31957.5956984,84.1080945318
