,kH,kHe,kHeII,hH,hHe,hHeII,nhH,nhHe,nhHeII
2.2,4479.68414389,40018.3445531,105330.899814,8.93911225048e-06,7.9376674752e-05,0.000211166388971,0.00141675381524,0.00125803551455,3.34676172356e-06
2.4,4471.64869293,39859.8658298,104232.88562,8.92462365127e-06,7.90931796052e-05,0.000211134197993,0.00224176410559,0.00198673084675,5.30345127165e-06
2.6,4461.04532181,39651.6956637,102803.881839,8.90550289716e-06,7.87207094528e-05,0.000211091929041,0.00354534456075,0.00313392789042,8.40372105971e-06
2.8,4447.06159212,39378.6692757,100952.522476,8.88028296285e-06,7.82320475527e-05,0.00021103640697,0.00560307975647,0.00493610849771,1.33154970931e-05
3.0,4428.63617234,39021.3461583,98568.6085422,8.84704623962e-06,7.75922547537e-05,0.00021096345201,0.00884704623962,0.00775922547537,2.1096345201e-05
3.2,4404.38934382,38555.0810992,95524.0359913,8.80329781854e-06,7.67569523192e-05,0.000210867561878,0.0139522867838,0.0121651571205,3.34202563331e-05
3.4,4372.53947739,37949.1123265,91678.0173181,8.74581242525e-06,7.56705969418e-05,0.000210741494228,0.0219684875635,0.0190075945722,5.29358699908e-05
3.6,4330.80709059,37165.8754757,86889.4748504,8.6704571672e-06,7.42650975894e-05,0.000210575719149,0.0345177117024,0.0295654678722,8.38317037375e-05
3.8,4276.31272801,36160.9242381,81039.9896705,8.57200013025e-06,7.24594209102e-05,0.000210357703042,0.0540856643906,0.0457188038001,0.000132726737703
4.0,4205.48334465,34884.0872297,74069.883198,8.44392935427e-06,7.01612657135e-05,0.000210070975181,0.0844392935427,0.0701612657135,0.000210070975181
4.2,4113.99605816,33282.7966568,66026.2054252,8.27833128867e-06,6.72724311199e-05,0.000209693916776,0.131202709043,0.106619618122,0.000332342461198
4.4,3996.81000646,31308.7855866,57112.7544644,8.06591605481e-06,6.36999932799e-05,0.000209198200456,0.202606650958,0.160007148807,0.000525482121222
4.6,3848.36697929,28929.2972218,47719.058422,7.7963290823e-06,5.9375395668e-05,0.000208546797754,0.310377451166,0.236377707699,0.00083023975582
4.8,3663.07455126,26143.0605017,38394.6175518,7.45895485322e-06,5.42821684705e-05,0.000207691467973,0.470628234679,0.342497328708,0.00131044457103
5.0,3436.20422176,22998.8548186,29743.7396834,7.04443583464e-06,4.84889968144e-05,0.000206569652173,0.704443583464,0.484889968144,0.00206569652173
5.2,3165.30160199,19610.1760609,22261.5285331,6.54712172157e-06,4.21775716689e-05,0.000205100736127,1.03764886467,0.668469462126,0.00325062760457
5.4,2852.04819072,16154.7807596,16195.1999036,5.96835528865e-06,3.56462972785e-05,0.000203181741829,1.4991830668,0.895394504674,0.0051036946043
5.6,2504.16319951,12847.6849617,11524.5723095,5.31995371287e-06,2.92695868325e-05,0.000200682700474,2.11791172011,1.16524323972,0.00798932220648
5.8,2136.41183869,9887.65022302,8061.86007508,4.62631986894e-06,2.34103017199e-05,0.000197442313179,2.91901049922,1.47709018066,0.0124577677612
6.0,1769.40004439,7400.06203886,5569.09587719,3.92289965229e-06,1.8320755094e-05,0.000193265102957,3.92289965229,1.8320755094,0.0193265102957
